system:index,centroid_lat,centroid_lon,ndvi,year,.geo
0_41,-28.387500010240576,-54.00650000002989,7411.990765710551,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.392],[-54.002,-28.391999999999996],[-54.002,-28.383],[-54.011,-28.383],[-54.011,-28.392]]]}"
0_42,-28.378500010290086,-54.00650000001669,7584.4050012257885,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.383],[-54.002,-28.383],[-54.002,-28.374],[-54.011,-28.374],[-54.011,-28.383]]]}"
0_43,-28.369500010236912,-54.006500000008536,7169.077727596862,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.374],[-54.002,-28.374],[-54.002,-28.365],[-54.011,-28.365],[-54.011,-28.374]]]}"
0_44,-28.360500010255414,-54.006500000015635,7575.049106049473,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.365],[-54.002,-28.365],[-54.002,-28.356],[-54.011,-28.356],[-54.011,-28.365]]]}"
0_45,-28.35150001031071,-54.00650000002109,7170.070618009633,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.356],[-54.002,-28.356],[-54.002,-28.347000000000005],[-54.011,-28.347000000000005],[-54.011,-28.356]]]}"
0_46,-28.342500010286123,-54.006500000018264,7237.320434321168,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.347000000000005],[-54.002,-28.347000000000005],[-54.002,-28.338],[-54.011,-28.338],[-54.011,-28.347000000000005]]]}"
0_47,-28.333500010259115,-54.00650000002242,7361.927994121968,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.338],[-54.002,-28.338],[-54.002,-28.329000000000004],[-54.011,-28.329000000000004],[-54.011,-28.338]]]}"
0_48,-28.324500010309258,-54.0065000000032,7610.305535145725,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.329000000000004],[-54.002,-28.329000000000004],[-54.002,-28.32],[-54.011,-28.32],[-54.011,-28.329000000000004]]]}"
0_49,-28.315500010309865,-54.00649999999958,7803.759490570658,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.32],[-54.002,-28.32],[-54.002,-28.311000000000003],[-54.011,-28.311000000000003],[-54.011,-28.32]]]}"
0_50,-28.306500010396206,-54.006500000008224,7843.052004245245,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.311000000000003],[-54.002,-28.311000000000003],[-54.002,-28.302],[-54.011,-28.302],[-54.011,-28.311000000000003]]]}"
0_51,-28.29750001028913,-54.00650000000386,8343.19846518083,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.302],[-54.002,-28.302],[-54.002,-28.293],[-54.011,-28.293],[-54.011,-28.302]]]}"
0_52,-28.288500010365905,-54.00650000001195,8116.324557106703,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.293],[-54.002,-28.293],[-54.002,-28.284],[-54.011,-28.284],[-54.011,-28.293]]]}"
0_53,-28.279500010312535,-54.006500000018974,7583.183035349824,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.284],[-54.002,-28.284],[-54.002,-28.275],[-54.011,-28.275000000000002],[-54.011,-28.284]]]}"
0_54,-28.270500010337102,-54.00650000001316,7757.790105314718,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.275000000000002],[-54.002,-28.275],[-54.002,-28.266],[-54.011,-28.266000000000002],[-54.011,-28.275000000000002]]]}"
0_55,-28.261500010416672,-54.006499999992975,7556.461343783167,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.266000000000002],[-54.002,-28.266],[-54.002,-28.257],[-54.011,-28.257],[-54.011,-28.266000000000002]]]}"
0_56,-28.252500010384498,-54.00650000003787,6094.843415789044,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.257000000000005],[-54.002,-28.257000000000005],[-54.002,-28.248],[-54.011,-28.248000000000005],[-54.011,-28.257000000000005]]]}"
0_57,-28.24350001039023,-54.0065000000161,7041.920564944076,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.248000000000005],[-54.002,-28.248],[-54.002,-28.239],[-54.011,-28.239],[-54.011,-28.248000000000005]]]}"
0_58,-28.495500010143896,-53.99750000002471,7489.827172582621,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.5],[-53.993,-28.5],[-53.993,-28.490999999999996],[-54.002,-28.491000000000003],[-54.002,-28.5]]]}"
